Frame,Preprocess (ms),Inference (ms),Postprocess (ms)
733,5.08,38.18,5.51
734,4.56,39.22,5.83
735,4.74,39.22,5.77
736,4.86,39.58,5.73
737,5.11,37.48,5.60
738,4.56,39.06,5.73
739,4.78,39.32,5.65
740,4.94,39.60,5.77
741,5.18,39.62,5.66
742,4.62,37.77,5.87
743,4.85,40.73,5.86
744,5.15,39.86,5.88
745,4.95,38.26,5.75
746,4.60,37.90,6.00
747,5.31,39.62,5.89
748,5.17,38.69,5.65
749,5.01,38.05,5.82
750,4.73,39.59,6.19
751,4.93,39.28,5.93
752,4.84,38.08,6.22
753,5.15,39.17,6.20
754,5.29,39.65,6.30
755,5.38,39.63,5.99
756,5.10,36.66,5.73
757,4.95,37.81,5.89
758,5.29,39.61,5.84
759,5.10,40.17,5.79
760,4.94,37.64,5.80
761,5.18,40.86,6.00
762,5.36,39.77,5.94
763,5.17,39.63,6.00
764,5.38,38.38,5.69
765,5.10,37.90,5.90
766,5.34,40.81,5.86
767,5.34,39.53,5.59
768,5.05,39.51,5.87
769,5.14,39.75,6.16
770,5.62,45.20,5.96
771,5.34,39.78,5.81
772,5.13,37.11,5.68
773,4.92,39.37,5.96
774,5.35,40.90,5.91
775,5.31,39.73,5.57
776,5.13,38.11,5.63
777,4.92,37.72,5.66
778,5.08,39.45,5.94
779,5.24,39.62,5.73
780,5.08,39.65,5.63
781,5.19,39.62,5.67
782,5.02,39.26,5.59
783,5.17,39.57,5.75
784,5.06,39.65,5.54
785,5.21,39.62,5.57
786,4.94,37.45,5.55
787,5.08,39.28,5.63
788,5.25,36.65,5.59
789,4.93,37.69,5.69
790,4.97,40.68,5.74
791,5.30,39.97,5.67
792,5.33,39.46,5.52
793,4.78,37.44,5.70
794,5.13,40.68,5.73
795,5.27,39.77,5.80
796,5.10,39.60,5.61
797,4.95,37.70,5.91
798,5.11,40.82,5.90
799,5.37,39.79,5.83
800,5.22,39.05,5.67
801,5.11,37.49,5.81
802,5.25,39.05,5.90
803,5.20,40.66,5.84
804,5.29,39.72,5.88
805,5.37,39.05,5.79
806,5.15,37.69,5.92
807,5.18,39.65,6.18
808,5.41,37.93,5.84
809,5.09,37.80,5.92
810,5.33,39.63,6.33
811,5.28,39.61,5.84
812,5.35,39.62,5.88
813,4.99,37.49,6.01
814,4.97,39.04,5.92
815,5.26,39.66,5.84
816,5.21,41.01,5.92
817,5.27,39.29,5.67
818,4.85,38.76,5.76
819,5.20,39.08,5.73
820,5.30,39.68,5.76
821,5.13,39.14,5.47
822,4.88,39.33,5.74
823,5.16,39.08,5.67
824,5.28,37.89,5.58
825,4.95,37.68,5.60
826,5.11,39.37,5.84
827,5.28,40.76,5.73
828,5.07,39.82,5.62
829,4.90,37.51,5.66
830,5.12,40.30,5.65
831,5.22,38.14,5.52
832,4.94,37.61,5.85
833,5.11,39.26,5.78
834,5.20,39.68,5.71
835,5.23,37.38,5.66
836,4.94,39.40,5.94
837,4.94,39.61,5.85
838,5.31,40.73,5.88
839,5.01,37.86,5.91
840,4.99,39.16,6.22
841,5.34,41.59,5.75
842,5.14,38.25,6.29
843,5.47,39.68,6.46
844,7.14,39.93,6.46
845,5.44,39.96,6.44
846,5.74,39.85,6.65
847,5.33,39.65,6.04
848,5.32,36.56,5.73
849,5.23,37.93,5.98
850,5.52,39.68,6.00
851,5.28,39.31,5.57
852,4.84,38.68,5.83
853,5.20,39.01,5.82
854,5.78,40.76,5.78
855,5.33,39.76,5.63
856,5.10,39.59,5.55
857,4.92,37.47,5.50
858,5.09,39.20,5.56
859,5.29,40.51,5.62
860,5.14,40.04,5.67
861,5.00,37.19,5.58
862,5.29,39.65,5.63
863,5.13,36.57,5.47
864,4.89,37.73,5.64
865,5.14,40.74,5.65
866,5.13,39.86,5.50
867,5.22,38.00,5.46
868,4.96,37.55,5.68
869,4.98,38.91,5.53
870,5.25,39.89,5.53
871,5.24,39.67,5.65
872,5.35,39.69,5.90
873,5.21,39.63,5.77
874,5.27,39.64,5.67
875,5.23,39.85,5.75
876,5.28,39.91,5.69
877,5.11,40.94,5.54
878,4.92,37.51,5.85
879,5.16,39.17,5.80
880,5.13,40.65,5.81
881,5.26,37.54,5.85
882,5.06,39.17,5.73
883,5.17,39.39,5.68
884,5.15,39.56,5.98
885,5.21,40.86,5.83
886,5.28,40.87,5.89
887,5.21,37.55,5.85
888,5.02,38.92,5.85
889,5.25,40.79,5.85
890,5.23,38.23,5.79
891,4.90,37.73,5.80
892,4.98,40.89,5.94
893,5.34,39.77,5.92
894,4.94,39.11,5.95
895,5.02,39.08,6.15
896,5.32,39.66,5.96
897,5.22,37.49,5.75
898,4.98,37.80,6.15
899,5.27,39.87,6.05
900,5.05,37.90,6.11
901,5.45,39.65,6.68
902,5.33,39.93,6.47
903,5.38,39.62,6.24
904,5.44,39.68,6.00
905,5.47,39.66,6.25
906,5.17,38.02,5.76
907,5.02,37.42,5.96
908,5.26,39.24,5.91
909,5.41,40.92,6.01
910,5.35,41.31,6.00
911,5.60,37.51,5.91
912,5.22,38.49,5.88
913,5.41,40.12,5.98
914,5.37,42.02,5.72
915,5.58,40.06,5.60
916,5.36,39.63,5.54
917,5.09,36.87,5.76
918,5.11,39.41,5.75
919,5.34,38.31,5.57
920,5.04,37.63,5.63
921,5.26,39.21,5.59
922,5.18,39.59,5.69
923,5.37,39.61,5.60
924,5.06,36.62,5.74
925,5.31,39.26,5.62
926,5.17,39.57,5.62
927,5.11,37.58,5.76
928,5.20,39.17,5.76
929,5.35,40.83,5.98
930,5.22,38.23,5.80
931,5.04,37.80,6.01
932,5.41,39.86,5.97
933,5.14,39.04,5.80
934,5.02,37.83,5.97
935,5.32,40.01,6.48
936,5.14,37.69,5.94
937,4.97,37.80,6.16
938,5.22,38.34,5.95
939,5.05,39.19,6.11
940,5.30,39.63,5.91
941,4.97,37.55,6.01
942,5.19,39.47,6.10
943,5.14,39.88,5.88
944,5.02,37.59,5.83
945,5.18,38.05,5.86
946,5.28,39.64,6.07
947,5.13,39.91,5.84
948,4.97,37.68,5.87
949,5.19,39.56,5.88
950,5.55,39.84,5.92
951,4.99,37.62,5.89
952,5.17,39.24,5.92
953,5.31,40.79,5.88
954,5.33,37.71,5.72
955,4.98,39.34,5.84
956,5.19,39.33,5.97
957,5.37,40.83,5.80
958,5.18,36.88,5.62
959,5.01,37.92,5.85
960,5.16,40.83,5.74
961,5.20,39.97,5.76
962,5.30,37.93,5.51
963,4.94,37.62,5.59
964,5.18,39.45,5.82
965,5.11,40.72,5.72
966,5.26,39.48,5.51
967,5.05,37.64,5.65
968,5.00,39.76,5.67
969,5.26,39.61,5.74
970,5.28,39.63,5.49
971,5.00,37.64,5.54
972,5.01,39.20,5.68
973,5.29,39.61,5.58
974,5.31,39.58,5.59
975,5.02,37.42,5.63
976,4.96,40.95,5.69
977,5.28,39.46,5.67
978,4.93,37.74,5.65
979,5.15,39.32,5.75
980,5.11,40.74,5.81
981,5.24,39.42,5.58
982,4.95,37.55,5.64
983,5.15,39.26,5.85
984,5.09,39.79,5.82
985,5.26,38.73,5.62
986,4.98,37.69,5.81
