Frame, Inference_Time(ms), CPU(%), RAM(MB), GPU_Mem(MB)
548, 11.83, 25.0, 3102.35, 52.39
549, 11.77, 28.6, 3102.35, 52.39
550, 11.70, 26.3, 3102.35, 52.39
551, 11.84, 21.1, 3102.18, 52.39
552, 11.60, 33.3, 3102.18, 52.39
553, 11.60, 28.6, 3102.18, 52.39
554, 11.80, 29.4, 3102.18, 52.39
555, 11.65, 30.0, 3102.18, 52.39
556, 11.62, 28.6, 3102.26, 52.39
557, 11.59, 35.0, 3102.19, 52.39
558, 11.59, 22.2, 3102.19, 52.39
559, 11.57, 33.3, 3102.19, 52.39
560, 11.72, 27.8, 3102.19, 52.39
561, 13.74, 21.1, 3102.19, 52.39
562, 11.83, 26.3, 3102.19, 52.39
563, 11.87, 33.3, 3102.20, 52.39
564, 12.83, 31.8, 3102.20, 52.39
565, 11.60, 26.3, 3102.20, 52.39
566, 11.63, 29.4, 3102.05, 52.39
567, 11.60, 26.3, 3102.05, 52.39
568, 11.66, 26.3, 3101.89, 52.39
569, 11.83, 21.1, 3101.89, 52.39
570, 11.69, 25.0, 3101.89, 52.39
571, 11.76, 26.3, 3101.89, 52.39
572, 11.64, 28.6, 3101.89, 52.39
573, 11.64, 26.3, 3101.89, 52.39
574, 11.73, 33.3, 3101.96, 52.39
575, 11.59, 22.2, 3101.96, 52.39
576, 11.67, 26.3, 3101.96, 52.39
577, 11.91, 35.0, 3101.96, 52.39
578, 11.67, 31.6, 3102.70, 52.39
579, 11.66, 30.0, 3102.61, 52.39
580, 11.72, 16.7, 3102.61, 52.39
581, 11.54, 30.0, 3102.61, 52.39
582, 11.62, 25.0, 3102.61, 52.39
583, 11.67, 28.6, 3102.61, 52.39
584, 11.83, 30.0, 3102.61, 52.39
585, 11.76, 26.3, 3102.52, 52.39
586, 11.70, 28.6, 3102.52, 52.39
587, 11.80, 30.0, 3102.52, 52.39
588, 11.68, 30.0, 3102.52, 52.39
589, 11.68, 30.0, 3102.52, 52.39
590, 11.74, 25.0, 3102.52, 52.39
591, 11.64, 28.6, 3102.59, 52.39
592, 11.63, 26.3, 3102.59, 52.39
593, 11.62, 38.1, 3102.59, 52.39
594, 11.60, 22.2, 3102.59, 52.39
595, 11.61, 33.3, 3102.59, 52.39
596, 11.63, 22.2, 3102.59, 52.39
597, 11.67, 33.3, 3102.49, 52.39
598, 11.79, 25.0, 3102.57, 52.39
